id,title,link,image_link,availability,price,mpn,description,condition
341096,Хэлси смузи,https://taplink.cc/vegandelivery/o/53468/,https://s.taplink.cc/p/d/f/5/3/1747586.jpg?0,in stock,300.00 RUB,PROFILE845465,"яблоко,шпинат,петрушка,мята,авокадо,виноградный сироп

300гр.",new
341094,смузи "Ягодный рай",https://taplink.cc/vegandelivery/o/53466/,https://s.taplink.cc/p/4/8/8/5/1747622.jpg?0,in stock,300.00 RUB,PROFILE845465,"вишня,яблоко,банан,сироп топинамбура

300гр.",new
341086,Царская каша,https://taplink.cc/vegandelivery/o/5345e/,https://s.taplink.cc/p/6/6/1/d/1746686.jpg?0,in stock,200.00 RUB,PROFILE845465,"подается до 14:00.Полба,растительное молоко

230гр.",new
341078,Оливье Holy Vegan,https://taplink.cc/vegandelivery/o/53456/,https://s.taplink.cc/p/c/f/1/2/1746180.jpg?0,in stock,250.00 RUB,PROFILE845465,"огурец свежий,огурец малосольный,кабачок,зеленый горошек,морковь,авокадо,груша,айсберг,соус а-ля ""Майонез"",укроп,""земля"" из маслин

210гр.",new
341074,Зелёный салат,https://taplink.cc/vegandelivery/o/53452/,https://s.taplink.cc/p/5/f/1/6/1746160.jpg?0,in stock,200.00 RUB,PROFILE845465,"огурец свежий,огурец малосольный,авокадо,шпинат,оливковое масло,кунжутное масло,соевый соус,лимонный фреш,микс из семян,""земля"" из маслин

100гр.",new
341070,"Битые огурцы" с "Коул слоу",https://taplink.cc/vegandelivery/o/5344e/,https://s.taplink.cc/p/f/d/a/8/1746190.jpg?0,in stock,180.00 RUB,PROFILE845465,"огурцы маринованные,соевый соус,кунжутное масло,имбирь,чеснок,кинза,острая паприка,китайская капуста,морковь,кунжут

170гр.",new
341066,Брускетта с авокадо,https://taplink.cc/vegandelivery/o/5344a/,https://s.taplink.cc/p/1/c/0/1/1746194.jpg?0,in stock,250.00 RUB,PROFILE845465,"авокадо,томаты,кинза,лимонный фреш,цельнозерновой хлеб,черная соль,петрушка,""земля"" из маслин

110гр.",new
341064,Тофу-маки,https://taplink.cc/vegandelivery/o/53448/,https://s.taplink.cc/p/5/f/b/2/1746692.jpg?0,in stock,220.00 RUB,PROFILE845465,"Предложение действует в будни.Нори,рис,авокадо,копченый тофу,огурец свежий

220гр.",new
341062,Цветная капуста "Баффало",https://taplink.cc/vegandelivery/o/53446/,https://s.taplink.cc/p/b/8/7/1/1746188.jpg?0,in stock,200.00 RUB,PROFILE845465,"цветная капуста,нутовый кляр,""Мисо"" соус,""земля"" из маслин,кунжут'

130гр.",new
341058,Грибной суп,https://taplink.cc/vegandelivery/o/53442/,https://s.taplink.cc/p/5/c/6/e/1746208.jpg?0,in stock,200.00 RUB,PROFILE845465,"шампиньоны,картофель,лук

240гр.",new
341050,Крем-суп из цукини,https://taplink.cc/vegandelivery/o/5343a/,https://s.taplink.cc/p/3/2/d/c/1746202.jpg?0,in stock,200.00 RUB,PROFILE845465,"цукини,картофель,кокосовые сливки,чеснок,лук

240гр.",new
341048,Суп тыквенный,https://taplink.cc/vegandelivery/o/53438/,https://s.taplink.cc/p/e/b/f/c/1746200.jpg?0,in stock,200.00 RUB,PROFILE845465,"тыква,имбирь,яблоки,тофу,соевый соус,кунжутное масло,микс из семян,петрушка

240гр.",new
341044,Тофу скрэмбл ролл,https://taplink.cc/vegandelivery/o/53434/,https://s.taplink.cc/p/9/5/0/d/1746220.jpg?0,in stock,360.00 RUB,PROFILE845465,"лаваш,тофу,копченая паприка,соевый соус,шпинат,""Айсберг"",томатный соус,соус а-ля ""Майонез""

230гр.",new
341042,Цезарь ролл,https://taplink.cc/vegandelivery/o/53432/,https://s.taplink.cc/p/d/d/2/8/1746708.png?0,in stock,370.00 RUB,PROFILE845465,"лаваш,подкопченный тофу,томатный соус,""Айсберг"",соус ""Цезарь"" на основе кешью

230гр.",new
341040,Фалафель ролл,https://taplink.cc/vegandelivery/o/53430/,https://s.taplink.cc/p/f/0/e/6/1746228.jpg?0,in stock,350.00 RUB,PROFILE845465,"лаваш,котлетки из нута,""Айсберг"",малосольные огурцы,томатный соус.соус а-ля ""Майонез""

230гр.",new
341036,Бургер из тофу,https://taplink.cc/vegandelivery/o/5342c/,https://s.taplink.cc/p/e/8/0/6/1746216.jpg?0,in stock,330.00 RUB,PROFILE845465,"бездрожжевая булочка,тофу,нори,соевый соус,томат,листья ""Айсберга"",шпинат,малосольные огурцы,соус BBQ

240гр.",new
341034,Бургер из гречки,https://taplink.cc/vegandelivery/o/5342a/,https://s.taplink.cc/p/4/0/9/5/1746706.jpg?0,in stock,330.00 RUB,PROFILE845465,"бездрожжевая булочка,зеленая гречка,шампиньоны,укроп,соевый соус,соус ""Карри"",томат,""Айсберг"",огурец малосольный

240гр.",new
341032,Важная О"СОБА,https://taplink.cc/vegandelivery/o/53428/,https://s.taplink.cc/p/6/e/4/7/1746702.jpg?0,in stock,300.00 RUB,PROFILE845465,"гречневая лапша,баклажан,цукини,лук,морковь,болгарский перецимбирь,соевый соус,соус Терияки

210гр.",new
341030,Оранжевый рай,https://taplink.cc/vegandelivery/o/53426/,https://s.taplink.cc/p/d/9/7/c/1746258.jpg?0,in stock,350.00 RUB,PROFILE845465,"морковь,миндаль,кокосовые сливки,миндальная мука,рисовая мука

150гр.",new
341028,Green-торт,https://taplink.cc/vegandelivery/o/53424/,https://s.taplink.cc/p/b/e/e/1/1746262.jpg?0,in stock,350.00 RUB,PROFILE845465,"яблоко свежее,яблоко сушенное,банан,груша,шпинат,кешью,кокос

210гр.",new
341024,Брауни младший,https://taplink.cc/vegandelivery/o/53420/,https://s.taplink.cc/p/4/8/b/d/1746698.jpg?0,in stock,350.00 RUB,PROFILE845465,"финики,миндаль,грецкие орехи,крем из авокадо и какао,сироп топинамбура,кокосовое масло

100гр.",new
341022,Торт Ягодный,https://taplink.cc/vegandelivery/o/5341e/,https://s.taplink.cc/p/d/a/c/e/1746244.jpg?0,in stock,300.00 RUB,PROFILE845465,"финики,миндаль,крем из кешью,смородиновый мусс,смородина,малиновая глазурь,шоколад

125гр.",new
341020,VEG Наполеон,https://taplink.cc/vegandelivery/o/5341c/,https://s.taplink.cc/p/7/4/f/a/1746238.jpg?0,in stock,300.00 RUB,PROFILE845465,"бездрожжевые коржи,кокосовые сливки.

140гр.",new
341014,VEG Сникерс,https://taplink.cc/vegandelivery/o/53416/,https://s.taplink.cc/p/0/9/5/f/1746236.jpg?0,in stock,220.00 RUB,PROFILE845465,"арахис,карамель,натуральный шоколад

70гр.",new
341006,Сырок со смородиной,https://taplink.cc/vegandelivery/o/5340e/,https://s.taplink.cc/p/6/2/c/0/1746254.jpg?0,in stock,200.00 RUB,PROFILE845465,"суфле из черной смородины,финики,шоколад

50гр.",new
341004,Печенье полбяное с клюквой,https://taplink.cc/vegandelivery/o/5340c/,https://s.taplink.cc/p/f/3/2/6/1746250.jpg?0,in stock,80.00 RUB,PROFILE845465,"Полба, клюква сушеная, миндаль

45гр.",new
341002,Печенье ореховое,https://taplink.cc/vegandelivery/o/5340a/,https://s.taplink.cc/p/f/5/c/2/1746684.jpg?0,in stock,50.00 RUB,PROFILE845465,"Орехи, сухофрукты

21гр.",new
340994,Сок свежевыжатый ,https://taplink.cc/vegandelivery/o/53402/,https://s.taplink.cc/p/2/d/3/4/1747452.jpg?0,in stock,250.00 RUB,PROFILE845465,300 мл.,new
329006,Суп томатный Rabbits Room,https://taplink.cc/vegandelivery/o/5052e/,https://s.taplink.cc/p/f/5/e/a/1698800.jpg?0,in stock,250.00 RUB,PROFILE845465,"Томаты свежие, кокосовое молоко, томаты вяленые, лук, чеснок, итальянские травы
Вкусный и холодный, и горячий

300 мл.",new
329002,Суп чечевичный,https://taplink.cc/vegandelivery/o/5052a/,https://s.taplink.cc/p/f/c/1/6/1698792.jpg?0,in stock,250.00 RUB,PROFILE845465,"Чечевица красная, чечевица зеленая, перец болгарский, имбирь свежий, кинза, специи
Вкусный и холодный, и горячий

300 мл.",new
328998,Суп нутовый с кумином,https://taplink.cc/vegandelivery/o/50526/,https://s.taplink.cc/p/1/6/7/7/1698784.jpg?0,in stock,250.00 RUB,PROFILE845465,"Нут, лимон, имбирь, мята, лук, чеснок, специи
Вкусный и холодный, и горячий

300 мл.",new
328984,Хумус Rabbits Room,https://taplink.cc/vegandelivery/o/50518/,https://s.taplink.cc/p/4/f/7/1/1698762.jpg?0,in stock,200.00 RUB,PROFILE845465,"Нут, лук, чеснок, специи

200 мл.",new
328968,Чизкейк кофе-маракуйя,https://taplink.cc/vegandelivery/o/50508/,https://s.taplink.cc/p/2/e/f/e/1698740.jpg?0,in stock,200.00 RUB,PROFILE845465,"Мука безглютеновая, кофе, кокосовое молоко, кешью, миндаль, маракуйя, сироп топинамбур

100 гр.",new
328960,Чиа пудинг,https://taplink.cc/vegandelivery/o/50500/,https://s.taplink.cc/p/9/b/c/b/1698722.jpg?0,in stock,250.00 RUB,PROFILE845465,"Чиа, кокосовое молоко, сироп топинамбура

200 мл.",new
328958,Сырники Rabbits Room,https://taplink.cc/vegandelivery/o/504fe/,https://s.taplink.cc/p/0/d/d/d/1698712.jpg?0,in stock,250.00 RUB,PROFILE845465,"Без глютена, без сахара
Тофу, банан, рисовая мука, изюм
Соус на выбор

180 гр.",new
328920,Панна котта,https://taplink.cc/vegandelivery/o/504d8/,https://s.taplink.cc/p/7/6/a/a/1698478.jpg?0,in stock,250.00 RUB,PROFILE845465,"Кокосовое молоко, агар, сироп топинамбура +
Ягодное желе

200 мл.",new
328918,Манго Стики Райс,https://taplink.cc/vegandelivery/o/504d6/,https://s.taplink.cc/p/0/e/8/a/1698476.jpg?0,in stock,300.00 RUB,PROFILE845465,"Рис, кокосовое молоко, манго, мусковадо, черный кунжут

250 гр.",new
328914,Смузи Манго Ласси,https://taplink.cc/vegandelivery/o/504d2/,https://s.taplink.cc/p/9/1/3/c/1698474.jpg?0,in stock,300.00 RUB,PROFILE845465,"Манго, кокосовое молоко

330 мл.",new
328912,Смузи Манго-банан-клубника,https://taplink.cc/vegandelivery/o/504d0/,https://s.taplink.cc/p/8/3/5/1/1698462.jpg?0,in stock,300.00 RUB,PROFILE845465,"Манго, банан, клубника

330 мл.",new
328910,Смузи Апельсин-спирулина,https://taplink.cc/vegandelivery/o/504ce/,https://s.taplink.cc/p/3/2/a/0/1698448.jpg?0,in stock,300.00 RUB,PROFILE845465,"Апельсин, спирулина

330 мл.",new
328908,Смузи Пина колада,https://taplink.cc/vegandelivery/o/504cc/,https://s.taplink.cc/p/5/d/2/0/1698440.jpg?0,in stock,300.00 RUB,PROFILE845465,"Кокосовая вода(без сахара), ананас,кокосовое молоко

300 мл.",new
328902,Манго Язычки,https://taplink.cc/vegandelivery/o/504c6/,https://s.taplink.cc/p/6/e/4/5/1698430.jpg?0,in stock,250.00 RUB,PROFILE845465,"Манго вяленое

100 гр.",new
328900,Кокосовые чипсы,https://taplink.cc/vegandelivery/o/504c4/,https://s.taplink.cc/p/d/8/3/2/1698426.jpg?0,in stock,150.00 RUB,PROFILE845465,"Мякоть кокоса сушеная

70 гр.",new
328898,VEG ГрибБургер,https://taplink.cc/vegandelivery/o/504c2/,https://s.taplink.cc/p/b/7/f/1/1701886.jpg?0,in stock,290.00 RUB,PROFILE845465,"Состав: булочка (морковь, обезжиренная миндальная мука, специи) котлета
(шелковый тофу холодного копчения, сушеный белый гриб, нут) сырный
кешью-соус, салат айсберг, красный маринованный лук, растительный
майонез, свежий томат.

Белки 7,04 /Жиры 11,59 /Углеводы 8,47 /Ккал 157,68

200 гр.",new
328896,VEG Сэндвич с тофу,https://taplink.cc/vegandelivery/o/504c0/,https://s.taplink.cc/p/e/a/5/1/1701884.jpg?0,in stock,190.00 RUB,PROFILE845465,"Состав: бездрожжевой хлеб на ржаной закваске, шелковый тофу холодного
копчения, маринованная морковка, салат айсберг, свежий огурец,
растительный майонез, сырный кешью-соус.

Белки 5,87 /Жиры 5,53 /Углеводы 16,64 /Ккал 136,35

125 гр.",new
328892,VEG Сэндвич капоната,https://taplink.cc/vegandelivery/o/504bc/,https://s.taplink.cc/p/c/4/1/3/1716158.jpg?0,in stock,190.00 RUB,PROFILE845465,"Состав: бездрожжевой хлеб на ржаной закваске, сыр из кешью, вяленый томат, 
цукини, перец болгарский, свежий базилик, томатный соус.

Белки 5,17 /Жиры 7,53 /Углеводы 17,4 03/ Ккал 154,14

125 гр.",new
328886,VEG Сэндвич Grazia,https://taplink.cc/vegandelivery/o/504b6/,https://s.taplink.cc/p/e/f/d/7/1716156.jpg?0,in stock,230.00 RUB,PROFILE845465,"Состав: бездрожжевой хлеб на ржаной закваске, сыр из кешью, вяленый
томат, айсберг, свежие томаты, базилик, мята, соус бальзамик.

Белки 4,75 /Жиры 4,58 /Углеводы 20,66 / Ккал 144,60

125 гр.",new
328884,VEG Сэндвич с авокадо гриль,https://taplink.cc/vegandelivery/o/504b4/,https://s.taplink.cc/p/6/1/1/0/1701882.jpg?0,in stock,230.00 RUB,PROFILE845465,"Состав: бездрожжевой хлеб на ржаной закваске, авокадо, айсберг,
арахисовый соус, свежий огурец, сыр из кешью.

Белки 5,86 /Жиры 10,79 /Углеводы 18,38 /Ккал 190,02

125 гр.",new
328882,RAW Спринг роллы,https://taplink.cc/vegandelivery/o/504b2/,https://s.taplink.cc/p/f/d/a/9/1701872.jpg?0,in stock,280.00 RUB,PROFILE845465,"Состав: рисовая бумага, красная капуста, свежий огурец, морковь, черный 
кунжут, сыр из кешью, арахисовый соус. 

Белки 2,52 / Жиры 4,57 /Углеводы 14,6 /Ккал 120,44

160 гр.",new
328878,VEG Сырники,https://taplink.cc/vegandelivery/o/504ae/,https://s.taplink.cc/p/d/c/3/b/1701868.jpg?0,in stock,260.00 RUB,PROFILE845465,"Состав: шелковый тофу, растительный пробиотик, кокосовое масло, сироп 
топинамбура, изюм, растительная сметана из кешью. 

Белки 5,64 /Жиры 6,05 /Углеводы 11,44 /Ккал 121,56

170 гр.",new
